#TE	Order	Superfamily	Clade	Complete	Strand	Domains
TE_00006213_LTR#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay RH|Tekay INT|Tekay
TE_00006230_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00006236_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00006246_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00006267_INT#LTR/Copia	LTR	Copia	Angela	no	+	PROT|Angela INT|Angela RT|Angela RH|Angela
TE_00006275_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00006288_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay CHD|Tekay
TE_00006292_INT#LTR/unknown	LTR	Gypsy	Tekay	no	-	CHD|Tekay
TE_00006307_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00006308_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00006315_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina
TE_00006319_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00006325_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00006326_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00006333_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006351_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00006355_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale
TE_00006357_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	RT|CRM
TE_00006370_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006374_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00006380_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand
TE_00006385_INT#LTR/unknown	LTR	Copia	Bianca	no	-	RH|Bianca
TE_00006396_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay CHD|Tekay
TE_00006400_INT#LTR/unknown	LTR	Gypsy	Tekay	no	-	INT|Tekay
TE_00006420_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00006457_INT#LTR/unknown	LTR	Copia	Angela	no	+	PROT|Angela INT|Angela
TE_00006460_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00006464_INT#LTR/Copia	LTR	Copia	Ivana	no	+	RT|Ivana RH|Ivana
TE_00006472_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	GAG|Ikeros PROT|Ikeros INT|Ikeros RH|Ikeros
TE_00006487_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006488_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00006496_INT#LTR/Copia	LTR	Copia	Ale	no	+	INT|Ale RT|Ale RH|Ale
TE_00006517_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00006518_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006523_LTR#LTR/Copia	LTR	Copia	SIRE	no	+	PROT|SIRE
TE_00006530_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina INT|Reina CHD|Reina
TE_00006541_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00006546_LTR#LTR/Copia	LTR	Copia	TAR	no	+	RH|TAR
TE_00006548_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00006557_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00006598_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00006599_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00006600_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00006602_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006613_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00006643_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00006663_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00006672_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00006687_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00006698_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006711_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00006719_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	RT|Ogre
TE_00006721_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand INT|Retand
TE_00006723_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	RH|Reina
TE_00006732_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00006750_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00006751_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006753_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006763_INT#LTR/Copia	LTR	Copia	Bianca	no	+	GAG|Bianca
TE_00006776_INT#LTR/unknown	LTR	Copia	Ale	no	+	GAG|Ale RH|Ale
TE_00006794_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00006801_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00006804_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00006820_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00006835_INT#LTR/Copia	LTR	Copia	TAR	no	+	GAG|TAR
TE_00006845_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RH|Retand
TE_00006847_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00006853_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00006879_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00006880_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006885_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00006892_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00006897_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00006900_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina
TE_00006903_INT#LTR/unknown	LTR	Gypsy	Tekay	no	-	CHD|Tekay
TE_00006909_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00006941_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00006945_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00006966_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand RH|Retand INT|Retand
TE_00006967_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00006980_LTR#LTR/Copia	LTR	Copia	SIRE	no	-	RT|SIRE
TE_00006984_LTR#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RH|Tekay
TE_00006990_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand aRH|Retand
TE_00006992_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	INT|Ikeros
TE_00006999_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007023_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00007046_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00007052_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00007057_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00007060_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00007061_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00007064_INT#LTR/unknown	LTR	Gypsy	Ogre	no	+	RH|Ogre INT|Ogre
TE_00007067_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand INT|Retand
TE_00007068_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	PROT|Ogre RT|Ogre RH|Ogre INT|Ogre
TE_00007076_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	GAG|Ikeros PROT|Ikeros INT|Ikeros RH|Ikeros
TE_00007078_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	INT|Reina CHD|Reina
TE_00007080_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00007083_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00007086_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00007087_INT#LTR/Copia	LTR	Copia	Ivana	no	+	RT|Ivana RH|Ivana
TE_00007094_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007114_INT#LTR/unknown	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00007117_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00007118_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00007121_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00007128_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	PROT|Retand INT|Retand
TE_00007150_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00007169_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00007179_INT#LTR/Copia	LTR	Copia	Ale	no	+	RT|Ale RH|Ale
TE_00007184_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007185_INT#LTR/Copia	LTR	Copia	Angela	no	+	PROT|Angela INT|Angela RT|Angela RH|Angela
TE_00007193_INT#LTR/Copia	LTR	Copia	Ale	no	+	RH|Ale
TE_00007197_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00007198_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007199_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand INT|Retand
TE_00007233_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RH|Ivana
TE_00007235_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007245_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00007247_INT#LTR/unknown	LTR	Copia	Ale	no	+	GAG|Ale RH|Ale
TE_00007255_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00007259_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00007274_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007279_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007282_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00007284_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00007295_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay CHD|Tekay
TE_00007298_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00007318_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00007335_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	RT|Tekay CHD|Tekay
TE_00007351_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay CHD|Tekay
TE_00007366_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00007371_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007385_LTR#LTR/Copia	LTR	Copia	SIRE	no	+	RT|SIRE
TE_00007415_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00007416_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00007425_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007432_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina
TE_00007442_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00007449_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00007466_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00007478_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana PROT|Ivana RH|Ivana
TE_00007480_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00007488_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007489_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007500_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	PROT|Retand
TE_00007501_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RH|Retand INT|Retand
TE_00007508_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay CHD|Tekay
TE_00007515_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand
TE_00007516_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand RH|Retand INT|Retand
TE_00007532_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007543_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00007556_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00007565_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00007569_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00007580_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00007585_INT#LTR/unknown	LTR	Gypsy	Reina	no	-	GAG|Reina RT|Reina
TE_00007589_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007610_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00007619_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00007626_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00007629_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand RT|Retand aRH|Retand INT|Retand
TE_00007634_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	INT|Ikeros
TE_00007646_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RH|Retand
TE_00007654_INT#LTR/Gypsy	LTR	Gypsy	TatIII	no	+	GAG|TatIII
TE_00007655_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00007662_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00007671_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00007679_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina
TE_00007729_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00007730_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand RT|Retand RH|Retand INT|Retand
TE_00007739_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007743_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00007744_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00007746_INT#LTR/Copia	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00007749_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00007756_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	INT|Ikeros
TE_00007758_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00007769_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay CHD|Tekay
TE_00007776_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana PROT|Ivana RT|Ivana RH|Ivana
TE_00007812_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00007816_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00007822_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand RT|Retand RH|Retand INT|Retand
TE_00007832_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00007836_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand
TE_00007843_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00007860_INT#LTR/Copia	LTR	Copia	Ale	no	+	GAG|Ale PROT|Ale INT|Ale
TE_00007878_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00007885_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00007919_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00007932_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00007935_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00007991_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00007998_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00008000_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00008005_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	INT|Ikeros
TE_00008011_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00008025_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00008037_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00008038_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00008046_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00008052_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00008054_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00008058_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand RT|Retand RH|Retand INT|Retand
TE_00008059_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00008069_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina
TE_00008079_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00008085_INT#LTR/unknown	LTR	Copia	Bianca	no	+	RH|Bianca
TE_00008088_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00008096_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale INT|Ale
TE_00008103_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00008107_INT#LTR/Gypsy	LTR	Gypsy	mixture	no	+	RH|Ogre INT|Retand
TE_00008110_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	INT|Ikeros RH|Ikeros
TE_00008117_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00008118_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay CHD|Tekay
TE_00008119_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RT|Retand aRH|Retand
TE_00008120_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00008146_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina
TE_00008159_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00008166_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00008177_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00008183_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00008184_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00008191_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	INT|Ikeros
TE_00008201_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	RH|Retand
TE_00008206_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	PROT|Ogre
TE_00008211_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	-	PROT|CRM
TE_00008216_INT#LTR/Copia	LTR	Copia	Ivana	no	+	RH|Ivana
TE_00008219_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand INT|Retand
TE_00008222_INT#LTR/unknown	LTR	Copia	Ale	no	+	INT|Ale
TE_00008225_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00008227_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	CHD|Tekay
TE_00008229_INT#LTR/unknown	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00008231_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00008245_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand RT|Retand
TE_00008273_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00008285_INT#LTR/Copia	LTR	Copia	SIRE	no	+	GAG|SIRE
TE_00008306_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00008317_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00008323_INT#LTR/Gypsy	LTR	Gypsy	CRM	no	+	PROT|CRM
TE_00008329_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	INT|Retand
TE_00008338_INT#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
TE_00008346_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00008351_INT#LTR/Gypsy	LTR	Gypsy	Retand	yes	+	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
TE_00008364_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	aRH|Retand
TE_00008370_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00008377_INT#LTR/Copia	LTR	Copia	Ale	no	+	PROT|Ale
TE_00008397_LTR#LTR/Gypsy	LTR	Gypsy	CRM	no	+	CHDCR|CRM
TE_00008418_INT#LTR/Copia	LTR	Copia	Ikeros	no	+	GAG|Ikeros PROT|Ikeros INT|Ikeros RH|Ikeros
TE_00008432_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
TE_00008438_INT#LTR/unknown	LTR	Gypsy	Tekay	no	+	RT|Tekay INT|Tekay CHD|Tekay
TE_00008445_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	INT|Retand
TE_00008450_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay
TE_00008453_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	aRH|Retand
TE_00008469_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00008478_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina
TE_00008508_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	PROT|Tekay
TE_00008511_INT#LTR/unknown	LTR	Gypsy	CRM	no	+	GAG|CRM
TE_00008515_INT#LTR/Copia	LTR	Copia	Ivana	no	+	GAG|Ivana RT|Ivana RH|Ivana
TE_00008521_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	RT|Retand
